运维审计系统账号,工作目录路径
caojinman,/database_new/work/caojinman
chenhongling,/database/work/chenhongling
chenshuiqing,/database/work/chenshuiqing
chensiyu,/database/work/chensiyu
cuixuedan,/database/work/cuixuedan
cuinaqi,/database/work/cuinaqi
fengmengxi,/database/work/fengmengxi
guoyunshuo,/database_new/work/guoyunshuo
huangxueyang,/database/work/huangxueyang
huoyuxin,database/work/huoyuxin
huyishu,/database/work/huyishu
juhui,/database/work/juhui
liujingying,/database/work/liujingying
liran,/database/work/liran; /database/users/ranli
liaoyiwen,/database/work/liaoyiwen
mirezhatijiang,/database/work/mirezhatijiang
qifengyuan,/database/work/qifengyuan; /database_new/work/qifengyuan
tanxiao,/database/work/tanxiao
wuhaowei,/database/users/hwwu
wangsiyuan,/database_new/work/wangsiyuan; /database/users/sywang
wuxingjie,/database/work/wuxingjie; /database_new/work/wuxingjie
wangyifei,/database/users/yfwang
wuyingna,/database/work/wuyingna
wangzewen,/database/work/wangzewen; /database_new/work/wangzewen
xuchonglin,/database_new/work/xuchonglin
yaobaomin,/database/work/yaobaomin
yinyue,/database/users/yyin
yuyansong,/database/users/yuyansong
yanziran,/database/work/zryan; /database_new/work/zryan
zhengyuling,/database/users/ylzheng; /database_new/work/zhengyuling
zhangyuqi,/database/work/zhangyuqi
zhaozhe,/database/work/zhaozhe
zhouzhizi,/database/users/zzzhou; /database_new/work/lisirui
huoyuxin,/database/work/huoyuxin
cuinaqi,/database/work/cuinaqi
shaoziyi,/database/work/shaoziyi

